ABC_2013_04_21.txt/A3HT6A9N2R5540, Male, 26, FL, 3, Yes, Republican

ABC_2013_04_21.txt/A3SNSWMNXQEHAO, Female, 24, WA, 7, Yes, Democratic

ABC_2013_04_21.txt/A1Y2N49VMVJ7C6, Female, 22, IN, 3, Yes, Republican

ABC_2013_04_21.txt/AS7D4MNIH56ND, Male, 20, NY, default, Yes, Democratic

ABC_2013_05_20.txt/A36QWE9V1NHLRD, Female, 22, PA, 0, Yes, Independent

ABC_2013_05_20.txt/A3S46DPHSBVU17, Female, 29, AL, 5, Yes, Democratic

ABC_2013_05_20.txt/A2CP6716BCS8UI, Male, 37, CA, 3, Yes, Independent

ABC_2013_05_20.txt/A3CV1VK8QP1SUN, Male, 23, NJ, 7, Yes, Independent

ABC_2013_05_20.txt/A3SNSWMNXQEHAO, Female, 25, CA, 7, Yes, Democratic

ABC_2013_05_21.txt/A2CFQSHT1TCCRB, Male, 34, IL, 5, Yes, Republican

ABC_2013_05_21.txt/A31UVMRUFGGJ12, Male, 22, IN, 2, Yes, Liberterian

ABC_2013_05_21.txt/A3UYHP1IKCNN7K, Male, 40, AZ, 5, Yes, Republican

ABC_2013_05_21.txt/A2UVS1PDM9QM4Z, Female, 26, IN, 3, Yes, Green

ABC_2013_05_21.txt/AS7D4MNIH56ND, Male, 20, NY, 5, Yes, Democratic

ABC_2013_05_22.txt/A2V8LLZRTOP79S, Female, 24, DE, 3, Yes, Republican

ABC_2013_05_22.txt/A31UVMRUFGGJ12, Male, 21, IN, 4, Yes, Liberterian

ABC_2013_05_22.txt/AOZ5HHRV4LTJF, Female, 24, NY, 2, Yes, Democratic

